  1.00000000      -3.8418822       1.0000211     -4.17298265E-03 -9.11955503E-05
   1.5000000      -3.8418834       1.0000262     -1.78625062E-03 -3.62929131E-05
   2.0000000      -3.8418775       1.0000205     -9.56838252E-04 -1.97590452E-05
   2.5000000      -3.8418853       1.0000230     -6.35324337E-04 -1.16158380E-05
   3.0000000      -3.8418837       1.0000274     -4.05122439E-04 -8.24539256E-06
   3.5000000      -3.8418775       1.0000190     -3.26917245E-04 -6.89470517E-06
   4.0000000      -3.8418875       1.0000268     -2.43958828E-04 -5.44269415E-06
   4.5000000      -3.8418810       1.0000218     -2.06609868E-04 -4.11789506E-06
   5.0000000      -3.8418846       1.0000254     -1.58306066E-04 -3.13046166E-06
   5.5000000      -3.8418775       1.0000219     -1.38850897E-04 -2.33691208E-06
